transaction_hash,input_addresses,input_values,output_addresses,output_values,transaction_fee
7e8a80669911824470bd60e6e478bf4b62294243ba42284aae97e2d38623865a,1JDmiRM9r2CDAY7hBzje4UonxRWcDPAyiy:15scbrxKvjikPW9cqvvU7CbW6SVpnRgV7k:14Z6Z1Sc2b24JBj7k5M4pMf9y6uF8s2KTu,76425:955268:1041616,1Dtct1d4RY62CvKik6mX8TgowxemFqMvcu:35hwAoNRHD6Bk9xZZHoiCr7Nru5zRZ956A,970415:1073062,29832
480619da633ea844c445bd8adbc85b8e162d806cba4e343def14a186d69cc27b,bc1qsw55gkezdyssgy6jg5fuxd6upmrc5r59llefly,243546087,16ZX2mhJrNzGjNJdt83sHJi71WhW5rdfQk:bc1qnsupj8eqya02nm8v6tmk93zslu2e2z8chlmcej,8532634:235005568,7885
e923e7930c4e5411e3b47c56cabbbaf6558e254cc210a27aa6108b02792f3080,1AqE5yoBvkDYz5ZM3x9FNDftoHw5HzxedQ,100000,1KhEFFFauK517LirGjNktw1AW82L2scBvT:38bTFnSBrmEM5yeu8xDTXdyseewjEq7phC,4552:94770,678
6eb9426f753039de625fac6c8d40abe6412ead2f4fbc001d718e18db8efc40a3,3LP9nyksProc65DX4uBLwFV8BDTw5ELAaN:3QnTk3SmWCQPpBMuUGZAWHAjAZQMJgXXdu,324254:113696,16QoJtDQ89fp67nDEbX8HsccpZY1BL8Ayk,432937,5013
101c1fa15ff1401b1eef7f82432409089d5641eac86b281a4a4aa43cb42c73d8,bc1qxvffyzs05r2fztfqqatsh7w0nr9u5aevnvwcee,15566131,1F1LcZNFaSy3bWEiUdLqpy5b3Syn2HvZpZ:bc1qdmz3q0y7et8xruf3k2e6vmhcgcahfktjydckvy,33000:15532699,432
90be8ff7fc54e5f60b44a2fd2bb1d9ddd66b6ddbc1dac195c53854d769f4a59b,16AF2RUiFXj81NhsNzPK3UCm1uoE8sz5cP,159789,bc1qxdrjdq008u8y20e4gpntd0lpracnvx4y2g57dc,157789,2000
5f2863dbead9271ccaf1e47356359b95e9d108932c5d26a0c208b0d0c10a807d,bc1qclmtgk9v5ff4jwevuh7le6clj804py7fuzxf8n26j6sh95e0d8csz0jy2e,87786,bc1qu48yndjcry4qmjw4zmj8zuu0r9ysnemknqxgrd8ewr4zw5w2rzssx54h3x,87242,544
0779e4734b9d497d31e692ba8c343c8d0f19780446d06c38c4ad07f64251197c,1KTJJUdijAfQ4iUwGPs57oKnVcysEPDPcC,1252032,1CrV4XhYimKJmvTKtHEz76TFftJdj7MNzh:1PG3am9DrnzzPP2ujwiGd3tuixD4W5K3U,177200:1062510,12322
293330235031aa9d794d9218be9ee5bbe851e931ea07b79f93347b9d1b3482bc,bc1q9y27kn5s9vxg7cx4ucu4zg6l42hrqertmswzjl,210463,1oqfZEcYnqNzKjDiMSc2zVxgacpucAYAi:bc1qxtj5v34wfznulz4yumpvfhjpferp4fuqfp3z02,127594:82533,336
7bfb851f152fec802311d6cad234fec2832261990a0776775a3c0d10e7123f49,bc1ql60z8txrdhcprqlm73l0wjczqhmm9gq236lx62:bc1qt9lka3j70nlud5ehv8hrk982xdxpkgjtxehm2x:bc1ql9y573vp3jc96229h3vq8d6jdpmgdg9p9ptg5c:bc1ql9y573vp3jc96229h3vq8d6jdpmgdg9p9ptg5c,9305035:66867850:52954302:31841282,bc1q96hethhan4e8emh6u8lews2ccmxtlfzjfffu6h:bc1q5qmsh6h75awhmdnsumyam8q9eyhewlkz3lr794:198TpZEY4WaFC5pkU5LmjFp6uRVJmDfWtR:3BSGX8yTdD7v7PTzYFDWRAEAgHLVVUffRZ,30106660:133864:4354975:126350010,22960
802284d242de3fdeee44ef46181833893a7105242a9151089c9fad707a8e3fa1,bc1qpmpe3fkkgcewct3mutph4xmnu7tv9k5skfy3u7asszn7kemsdfhqv0msdp,268903534,129yTtWNRugBbi6LhaKWHVFS4dc6ceUzd6:19hmxC2N1CU8EnPwp5gyHj7inyPqQRaxSj:19tTGsCv6NNMrWJi2EMojw5cXXe7PLYhvn:1nnW2pSg8uM6Fv1YzUAt6tw2cTP72MbJH:323Qi7iYAatXmtY6HeH5DXjoKhRtTceDyk:38hzxNha9fAT4KtaYYoT5oiWwM8qR8Jmbf:3QrtakJ7Mt1zRQwjwDYAzHJwoG2bSLmQMQ:bc1qpmpe3fkkgcewct3mutph4xmnu7tv9k5skfy3u7asszn7kemsdfhqv0msdp,280826:302859:701761:2574382:216713:216691:2083474:262522244,4584
09be4fc6cd57230890dd248fb5a73af6e3b8b2bc90ef5e30d3b41393c58289c3,3Fyuhx3aTZn4EeYmrX4qETUNs9eTpnn27t,100000000,bc1qvmaf7rt543pmyvj99ht36x7v3r77gazkjfuass:3LuNKfDKBeSCtYw8XgFUtk3QzKRzUzYmPM,2380000:97619668,332
10afdd1c26bec14073e347e93e682878e60c785e6da452b0e8492268b331c27e,bc1q53rw73qlzjrmz6vstxlpwlu505huhardtsmegm,9615232,bc1q5k5zgcx5vzrnc3mqnufnamzkkwfy284wnlykud,9609292,5940
0de199fe4febd4314b290bfccca59f9b2edd66fd10f8eabbe4654c7f04014a03,1DZz9gzFC5HE1fQTru9Zg5N4eFQZKVPUaW,296128,1DZz9gzFC5HE1fQTru9Zg5N4eFQZKVPUaW,283078,13050
e42236e77c10309f16a6a7ceadef2bfe2443ce42d7ae02096522c1edffcad608,bc1qny2xunvvfqs4xyru3yxmt9rsd5ygl45s727wzx:bc1qz94zwzs7uc59sc46s3e7tl8qczq4k7y56uw9rv,114132:55401,1FjwHuVTHPfwNUYMukCSC9Pzg7gUFBcq35:bc1qleq4q6wgw6h03r5le9t0kh57hz0t923akvj2tt,158197:10694,642
ba13a0a657a04b1710a5a61bae7b6758d8c9a5da7f481c159713f26b5ba3223e,3NSa5aSknNkZzw4M8iiXRcW1sjid8quXdt,37498706,bc1q9ckz8w0ejeelnzh4w9hf0c7mf0lx3nnvrnxux7:bc1qg9pzueylh70atjdn0f7xfwr5al7sh5hl5wnjh4:3NSa5aSknNkZzw4M8iiXRcW1sjid8quXdt,68167:35316:37384443,10780
1aae4b31b7804245271d27f15d68fe3b4db5c94acc2bcd71565eccf12e59a5a1,3FTaWtzGX66Um6V4m17S9AXzb3kL8vZMmo,201705825,bc1qgy3jad8wrhjetmawsa43q22ank2mpwuy3vhm3y:32Q924Lrkgy4SsgW2HR1M1nhLGTB4S2nVH,3479411:198220414,6000
3501a7ff551d91f34255f9c8f64c61eb9519d54c60d5a76b6aafe74543cdc463,bc1qd2ghjvzkrv0ynr599e705sqzfuafsmmyxl8w3l,19467910,bc1qgykrpntr9dz95ra6kxfm7ft6dp56njqny92ua9:18FMe9Ywjjc56Sb9xMjAKxbNwU3CaePvqg,19447727:12435,7748
93607a71be3785ef052dfe617be8d8799b35be7a543a10eef62dbee5279cab08,bc1qc99zha6lwx5pgeuhq7sd6a6rpgc6xyntyzhlrk,11672051,bc1qw6rcfsm7fayk0l29f6zt2n0rdchkwd07869cuv:bc1q0dl9tt9h58dg0zzk8e3zd76s0r6aj0xjquzcxg,6977309:4689087,5655
32718cb22e50a0f4a56a8123afdb11c789dc5f00f0a612900d9d841affd1b169,1ojtoEHkVkUEQgDne1vUVmUnW7GVMRMeq,5281589,39ibqTUuZDt6qysnT4FShYjEF3wEAWE5rG,5275035,6554
fe8b2a6c12a717dbad7c27968d83685ecc90f68a97af0a8e095a17e4a6dba346,3PdM7hCXu8JVp3dw8rn9ZW8kstfpy9Rc5E,123885487,bc1qzm3ztjs78j3pudvcvfx5m08xx8qatfws5jcsz6:3DwehXRdhhYgkYcjwjVyVfR5nQFn2P2XXZ,8817729:115054634,13124
3f065e99432ebaced30162948bcad3c1829148729e24a92eb646a1491acb9081,bc1qwse2runkrmjepvql6ehwchv64juhhwqf3pqzwe,2038880,bc1qv80lgzf8zgey5kh9cxwmq0l7ulq2ctk3xkyy48:3FcL4DxhWizovusJQq5tp6vM9uDL179xgF,1360280:671568,7032
4c3832fc02968b89f8d7aa309f5a24cf639c0582788652f5f89d96d700688aab,bc1qt0cfyt770jay08ewp0d63755wgne54n9yf2762,124269,14CBxj9GE3i3RLzPhhZoR8n1WFHMv7E3EV:bc1q7x385elpkaf5w67ndrgsp8ex4npydhd97v640r,32158:91775,336
710ef3413e2282802639788f49dea035ea9146f408f0648840a7feb35563ac92,37RtS1GQwGBYa8Afcxkw7STh98JeuGDbrB,128942403,154hFwuAqYp3AngVFEU8KEmYoZM2diNFKi:37RtS1GQwGBYa8Afcxkw7STh98JeuGDbrB,1004338:127924545,13520
e6241e808e0d04e211fe98f3def8fa9e2b2e1accf22fe8b10fa323d085628085,3NSa5aSknNkZzw4M8iiXRcW1sjid8quXdt,40168250,bc1qsgxs3l7jqlppc80y6ag808gdtuya4xkcm0pen5:3NSa5aSknNkZzw4M8iiXRcW1sjid8quXdt,3361242:36796964,10044
e17a19459fa8c1f3a9673b9a099e96754e9dc926138cef89cd1efab938888618,3Bijyhp22qyHouept5j5jDRDh2o5RgpAaS:3DpwfBC4NhXhAxEGC5UgkKnGHsNMsca8vm,1234316:9243825,3KsTxnbvNQQ3LLRTDSEDX66SozUEUqtUki:12RrqgRUiKEd2htbFwkGaCdCZrMVGje5Qy:3PAiR6E4aKLjdaPdWBYqZjAcfqEeV3WWjL,8589903:100000:1779950,8288
fe8a15b699d6364898fd6561a1dde0339b37529484027240529130dc5863a06a,bc1q3c4hdvjtdhw2r7f45pr2y2vedddrpzn9durt6s,2646857,3LDrLkxGXRY4PBkrrck2XgybzRW8g3jvs5:bc1qzhmvee0mp45u5z8tuqj6wl7w9zrq6swp9fmskm,345000:2295930,5927
5d368a51f165735f5356503dfd9f972ece40ca0701dd9a0ba38100d2c5eaf099,3JodN7GmkHdPgKj9G7HCkn9NDLhrcWCjVN,8345900,3GnEZdxG1wHfG1ZrFhqckZfj3Eer8Nqqv4:1BqibB1Lhgry32EKapquPmx4FQUKiSG3iz:3Bc8fZWJXJ91vhN5a2hanZiqXeT893emw3:352DUQCfVmKQo4jXKSEGjM6bC4u6FmAMC4:3CDu9CPFNCKx4wpwg6FSRcmZbazrCRZmqz:3JodN7GmkHdPgKj9G7HCkn9NDLhrcWCjVN,2000000:3042116:2509018:73313:400000:305076,16377
1a0040aef1764270f6c52f48dffffe7df9649c2ca4e8c2ed1990abc610b41f3a,bc1qyzxdu4px4jy8gwhcj82zpv7qzhvc0fvumgnh0r,500000,bc1q5s502q7y6zd4lqsh8xpcpxmnl4vh0ss6w2vlrv:bc1qyzxdu4px4jy8gwhcj82zpv7qzhvc0fvumgnh0r,329113:153033,17854
4dabc8fb590905ed4e9261fb5ba908d95e5ac8302ff2ae9892257aa76bd0a803,3Fga5WyekVZYRZJap671MFG4yZ4VseaQWM:3Ka7kmDgKfhnwc32yJ4ACd6DGPYD5p2fsE:3LiErCV4Bqkmdhwo3x9HLMeLQaF92ABG4G:3LiErCV4Bqkmdhwo3x9HLMeLQaF92ABG4G,1957345:422113:96714:1178800,15SwBstyUnpzwMWUM1zTPXnJCE4WNARdPW,3632752,22220
7903810528a923d69bc8b52a51fd71e888e400bc454dc5d8ef5a6d1e4e4e6bf5,bc1qx7vzy528v0rjqem008tjyhsx6cgxkan8967254jacj5w2cwug0es3369vs,25875058,bc1q2jf0g0grez5yufj96pz35maxglc6sd9n38xkm5hhzge3s7k07ewskep59f:3E3EGAmw7gUDLigs8MXoAi7G9tZ1BxYWop,2294701:23574921,5436
1c41b2d871f649fd2958385fd1460563a3cc89475b3a213eb9c7bfee140e1a95,bc1qdhwvnuhmv5fayp3j49p39euyyjne7u52hcn34e,197535,3NP51Rq8HGjZoRByCbeY5gREZpN7XAESTP,174613,22922
0be009eb9d5acbf5afcbfa0c1dde845da6b64bfaae04d5a51218e449de918143,1Auo8gexB9vSSNcxa3WLjsfLc6nW6nXAbo,2149373,1DmbZZRuxSVKsWAgjzBncCeQiJhhx4nzz:379m8nwzzeLpTvygrXi3Mdjz3kcx5YGQ65,17446:2120577,11350
baec5246be297ed72ebc0281eaad6dafa4b9d507f0b1e96d6cf6e548855d5177,bc1ql4p2vt956hu9ew7m4dkrl4vx34220dysmkyftl,1483422,bc1ql4p2vt956hu9ew7m4dkrl4vx34220dysmkyftl,1483140,282
